0,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Thamel,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Hanuman Dhoka Temple,Kumari House,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Jagannath Temple,Freak Street,Kasthamandap,Asan,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Bajrayogini Temple,Royal Botanical Gardens,Seto Machindranath Temple,Tribhuvan Museum,Rani Pokhari,Ratna Park,Babar Mahal,Singha Durbar,Basantapur Tower,Ashok Binayak,Pilgrims Book House,Shechen Monastery,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Chisapani,Dhulikhel,Kirtipur,Phulchoki,Kulekhani,Lakuri Bhanjyang,Namo Buddha,Kakani,Helambu,Jump KTM,Art in Paradise Nepal,Whoopee Land,Astrek Park,Kathmandu Sports Climbing Centre,House of Palettes,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
White Monastery,13 mins,7 mins,34 mins,25 mins,13 mins,20 mins,30 mins,29 mins,30 mins,28 mins,21 mins,28 mins,28 mins,28 mins,30 mins,25 mins,41 mins,26 mins,1 hour 2 mins,32 mins,1 min,31 mins,50 mins,15 mins,29 mins,22 mins,22 mins,22 mins,22 mins,29 mins,29 mins,24 mins,7 mins,8 mins,31 mins,1 hour 1 min,49 mins,1 hour 44 mins,42 mins,39 mins,1 hour 10 mins,40 mins,1 hour 10 mins,1 hour 53 mins,1 hour 7 mins,1 hour 25 mins,1 hour 31 mins,inf,15 mins,25 mins,44 mins,22 mins,25 mins,34 mins,22 mins,22 mins
Bajrayogini Temple,42 mins,38 mins,1 hour 5 mins,56 mins,46 mins,51 mins,1 hour 0 mins,1 hour 0 mins,1 hour 1 min,1 hour 0 mins,52 mins,59 mins,59 mins,59 mins,1 hour 0 mins,56 mins,1 hour 9 mins,57 mins,1 hour 30 mins,1 hour 2 mins,35 mins,1 min,1 hour 16 mins,45 mins,1 hour 0 mins,53 mins,53 mins,52 mins,53 mins,1 hour 0 mins,1 hour 0 mins,55 mins,40 mins,41 mins,58 mins,48 mins,1 hour 20 mins,2 hours 16 mins,37 mins,1 hour 11 mins,1 hour 24 mins,1 hour 12 mins,1 hour 36 mins,2 hours 21 mins,1 hour 30 mins,1 hour 40 mins,2 hours 2 mins,inf,46 mins,55 mins,1 hour 11 mins,53 mins,56 mins,1 hour 2 mins,53 mins,53 mins
Royal Botanical Gardens,46 mins,52 mins,50 mins,49 mins,59 mins,45 mins,43 mins,45 mins,43 mins,1 hour 6 mins,47 mins,46 mins,38 mins,44 mins,43 mins,45 mins,40 mins,47 mins,1 hour 1 min,44 mins,54 mins,1 hour 15 mins,1 min,45 mins,45 mins,43 mins,44 mins,40 mins,42 mins,45 mins,43 mins,48 mins,52 mins,57 mins,33 mins,1 hour 22 mins,55 mins,2 hours 22 mins,1 hour 2 mins,1 hour 6 mins,1 hour 28 mins,42 mins,36 mins,1 hour 52 mins,1 hour 3 mins,1 hour 44 mins,1 hour 58 mins,inf,52 mins,43 mins,42 mins,47 mins,46 mins,33 mins,44 mins,47 mins
Seto Machindranath Temple,6 mins,12 mins,24 mins,15 mins,19 mins,10 mins,19 mins,18 mins,20 mins,25 mins,11 mins,17 mins,17 mins,17 mins,19 mins,15 mins,30 mins,16 mins,51 mins,21 mins,14 mins,42 mins,42 mins,1 min,18 mins,12 mins,12 mins,10 mins,11 mins,18 mins,19 mins,14 mins,12 mins,17 mins,19 mins,1 hour 1 min,38 mins,1 hour 41 mins,42 mins,32 mins,1 hour 8 mins,29 mins,1 hour 2 mins,1 hour 42 mins,1 hour 2 mins,1 hour 23 mins,1 hour 23 mins,inf,11 mins,13 mins,32 mins,12 mins,15 mins,23 mins,11 mins,12 mins
Tribhuvan Museum,19 mins,25 mins,17 mins,13 mins,32 mins,9 mins,8 mins,1 min,8 mins,32 mins,11 mins,5 mins,8 mins,1 min,7 mins,9 mins,23 mins,11 mins,43 mins,11 mins,27 mins,54 mins,42 mins,16 mins,1 min,7 mins,8 mins,11 mins,11 mins,1 min,9 mins,12 mins,25 mins,30 mins,17 mins,1 hour 8 mins,29 mins,1 hour 47 mins,48 mins,30 mins,1 hour 14 mins,20 mins,1 hour 0 mins,1 hour 35 mins,1 hour 6 mins,1 hour 29 mins,1 hour 22 mins,inf,22 mins,5 mins,24 mins,11 mins,13 mins,18 mins,10 mins,11 mins
Rani Pokhari,12 mins,18 mins,16 mins,6 mins,25 mins,2 mins,9 mins,11 mins,10 mins,25 mins,4 mins,10 mins,10 mins,10 mins,9 mins,3 mins,25 mins,5 mins,46 mins,14 mins,20 mins,48 mins,40 mins,10 mins,11 mins,1 min,3 mins,6 mins,6 mins,11 mins,10 mins,6 mins,19 mins,23 mins,15 mins,1 hour 3 mins,31 mins,1 hour 40 mins,43 mins,24 mins,1 hour 9 mins,23 mins,58 mins,1 hour 37 mins,1 hour 3 mins,1 hour 24 mins,1 hour 15 mins,inf,15 mins,6 mins,26 mins,4 mins,7 mins,18 mins,5 mins,4 mins
Ratna Park,14 mins,20 mins,18 mins,8 mins,27 mins,4 mins,11 mins,11 mins,11 mins,27 mins,6 mins,10 mins,10 mins,10 mins,11 mins,4 mins,26 mins,6 mins,46 mins,14 mins,22 mins,49 mins,40 mins,12 mins,11 mins,2 mins,1 min,6 mins,6 mins,11 mins,12 mins,7 mins,20 mins,25 mins,15 mins,1 hour 3 mins,31 mins,1 hour 42 mins,43 mins,25 mins,1 hour 9 mins,23 mins,58 mins,1 hour 37 mins,1 hour 3 mins,1 hour 25 mins,1 hour 17 mins,inf,17 mins,6 mins,26 mins,6 mins,8 mins,18 mins,5 mins,6 mins
Babar Mahal,13 mins,20 mins,18 mins,13 mins,26 mins,8 mins,11 mins,10 mins,11 mins,31 mins,10 mins,9 mins,8 mins,9 mins,11 mins,9 mins,21 mins,11 mins,42 mins,12 mins,21 mins,49 mins,35 mins,11 mins,10 mins,6 mins,7 mins,1 min,2 mins,10 mins,11 mins,12 mins,20 mins,24 mins,10 mins,59 mins,29 mins,1 hour 46 mins,39 mins,30 mins,1 hour 5 mins,20 mins,53 mins,1 hour 33 mins,59 mins,1 hour 20 mins,1 hour 21 mins,inf,18 mins,6 mins,23 mins,10 mins,13 mins,14 mins,6 mins,10 mins
Singha Durbar,14 mins,21 mins,19 mins,13 mins,27 mins,9 mins,13 mins,11 mins,13 mins,32 mins,11 mins,10 mins,10 mins,10 mins,12 mins,9 mins,23 mins,11 mins,43 mins,13 mins,22 mins,50 mins,37 mins,12 mins,11 mins,7 mins,8 mins,2 mins,1 min,11 mins,12 mins,12 mins,21 mins,25 mins,12 mins,1 hour 0 mins,31 mins,1 hour 47 mins,40 mins,30 mins,1 hour 6 mins,22 mins,55 mins,1 hour 35 mins,1 hour 0 mins,1 hour 21 mins,1 hour 22 mins,inf,19 mins,6 mins,25 mins,11 mins,13 mins,16 mins,5 mins,11 mins
Basantapur Tower,19 mins,25 mins,17 mins,13 mins,32 mins,9 mins,8 mins,1 min,8 mins,32 mins,11 mins,5 mins,8 mins,1 min,7 mins,9 mins,23 mins,11 mins,43 mins,11 mins,27 mins,54 mins,42 mins,16 mins,1 min,7 mins,8 mins,11 mins,11 mins,1 min,9 mins,12 mins,25 mins,30 mins,17 mins,1 hour 8 mins,29 mins,1 hour 47 mins,48 mins,30 mins,1 hour 14 mins,20 mins,1 hour 0 mins,1 hour 35 mins,1 hour 6 mins,1 hour 29 mins,1 hour 22 mins,inf,22 mins,5 mins,24 mins,11 mins,13 mins,18 mins,10 mins,11 mins
